,Indicator,Country,Date,value,Year,Month
254,Cumulative number of probable Ebola cases,Guinea,2015-03-02,392.0,2015,3
255,Cumulative number of suspected Ebola cases,Guinea,2015-03-02,5.0,2015,3
256,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-02,2127.0,2015,3
257,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-02,1735.0,2015,3
258,Cumulative number of probable Ebola deaths,Guinea,2015-03-02,392.0,2015,3
259,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-02,9265.0,2015,3
260,Cumulative number of confirmed Ebola cases,Liberia,2015-03-02,3153.0,2015,3
261,Cumulative number of probable Ebola cases,Liberia,2015-03-02,1888.0,2015,3
262,Cumulative number of suspected Ebola cases,Liberia,2015-03-02,4224.0,2015,3
263,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-02,4057.0,2015,3
264,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-02,11443.0,2015,3
265,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-02,8353.0,2015,3
266,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-02,287.0,2015,3
267,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-02,2803.0,2015,3
268,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-02,3530.0,2015,3
269,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-02,3164.0,2015,3
270,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-02,208.0,2015,3
271,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-02,158.0,2015,3
272,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-02,1.0,2015,3
273,Cumulative number of confirmed Ebola cases,Mali,2015-03-02,7.0,2015,3
274,Cumulative number of probable Ebola cases,Mali,2015-03-02,1.0,2015,3
275,Cumulative number of suspected Ebola cases,Mali,2015-03-02,0.0,2015,3
276,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-02,6.0,2015,3
277,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-02,8.0,2015,3
278,Cumulative number of confirmed Ebola cases,Nigeria,2015-03-02,19.0,2015,3
279,Cumulative number of probable Ebola cases,Nigeria,2015-03-02,1.0,2015,3
280,Cumulative number of suspected Ebola cases,Nigeria,2015-03-02,0.0,2015,3
281,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-02,20.0,2015,3
282,Cumulative number of confirmed Ebola cases,Senegal,2015-03-02,1.0,2015,3
283,Cumulative number of probable Ebola cases,Senegal,2015-03-02,0.0,2015,3
284,Cumulative number of suspected Ebola cases,Senegal,2015-03-02,0.0,2015,3
285,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-02,1.0,2015,3
286,Cumulative number of confirmed Ebola cases,Spain,2015-03-02,1.0,2015,3
287,Cumulative number of probable Ebola cases,Spain,2015-03-02,0.0,2015,3
288,Cumulative number of suspected Ebola cases,Spain,2015-03-02,0.0,2015,3
289,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-02,1.0,2015,3
290,Cumulative number of confirmed Ebola cases,United States of America,2015-03-02,4.0,2015,3
291,Cumulative number of probable Ebola cases,United States of America,2015-03-02,0.0,2015,3
292,Cumulative number of suspected Ebola cases,United States of America,2015-03-02,0.0,2015,3
293,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-02,4.0,2015,3
294,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-02,7.0,2015,3
295,Cumulative number of probable Ebola deaths,Nigeria,2015-03-02,1.0,2015,3
296,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-02,0.0,2015,3
297,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-02,8.0,2015,3
298,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-02,0.0,2015,3
299,Cumulative number of probable Ebola deaths,Senegal,2015-03-02,0.0,2015,3
300,Cumulative number of suspected Ebola deaths,Senegal,2015-03-02,0.0,2015,3
301,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-02,0.0,2015,3
302,Cumulative number of confirmed Ebola deaths,Spain,2015-03-02,0.0,2015,3
303,Cumulative number of probable Ebola deaths,Spain,2015-03-02,0.0,2015,3
304,Cumulative number of suspected Ebola deaths,Spain,2015-03-02,0.0,2015,3
305,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-02,0.0,2015,3
306,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-02,1.0,2015,3
307,Cumulative number of probable Ebola deaths,United States of America,2015-03-02,0.0,2015,3
308,Cumulative number of suspected Ebola deaths,United States of America,2015-03-02,0.0,2015,3
309,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-02,1.0,2015,3
310,Cumulative number of confirmed Ebola cases,United Kingdom,2015-02-27,1.0,2015,2
311,Cumulative number of probable Ebola cases,United Kingdom,2015-02-27,0.0,2015,2
312,Cumulative number of suspected Ebola cases,United Kingdom,2015-02-27,0.0,2015,2
313,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-27,0.0,2015,2
314,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-27,3190.0,2015,2
315,Cumulative number of confirmed Ebola cases,Guinea,2015-02-27,2790.0,2015,2
